"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value","BAND","value_date","greenup.year","greenup.yday","GDD5.cum"
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2001001","2001-01-01","h11v04",2019042211647,1,11419,"Greenup","2001-04-07",2001,97,28.75
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2002001","2002-01-01","h11v04",2019042211832,1,11783,"Greenup","2002-04-06",2002,96,30
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2003001","2003-01-01","h11v04",2019042221610,1,12152,"Greenup","2003-04-10",2003,100,84.75
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2004001","2004-01-01","h11v04",2019046130638,1,12517,"Greenup","2004-04-09",2004,100,101.75
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2005001","2005-01-01","h11v04",2019046130745,1,12881,"Greenup","2005-04-08",2005,98,84
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2006001","2006-01-01","h11v04",2019046131057,1,13243,"Greenup","2006-04-05",2006,95,55.75
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2007001","2007-01-01","h11v04",2019046131443,1,13609,"Greenup","2007-04-06",2007,96,132.5
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2008001","2008-01-01","h11v04",2019046131708,1,13973,"Greenup","2008-04-04",2008,95,27.5
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2009001","2009-01-01","h11v04",2019046132105,1,14351,"Greenup","2009-04-17",2009,107,79.5
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2010001","2010-01-01","h11v04",2019046132324,1,14703,"Greenup","2010-04-04",2010,94,91.75
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2011001","2011-01-01","h11v04",2019046132537,1,15081,"Greenup","2011-04-17",2011,107,97.5
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2012001","2012-01-01","h11v04",2019046132930,1,15417,"Greenup","2012-03-18",2012,78,102.75
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2013001","2013-01-01","h11v04",2019046133329,1,15812,"Greenup","2013-04-17",2013,107,52
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2014001","2014-01-01","h11v04",2019046133637,1,16178,"Greenup","2014-04-18",2014,108,59
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2015001","2015-01-01","h11v04",2019046133933,1,16532,"Greenup","2015-04-07",2015,97,59.5
-7297638.56,4649343.11,463.312716528,1,1,"Greenup.Num_Modes_01","days since 1-1-1970",1,41.813583,-88.052897,"MortonArb","MCD12Q2","1995-01-01","2020-06-25",TRUE,"A2016001","2016-01-01","h11v04",2019046134232,1,16890,"Greenup","2016-03-30",2016,90,86.25
