"species_name_acc","taxon_name","scientificName","taxonIdentificationNotes","database","year","basisOfRecord","establishmentMeans","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geolocationNotes","county","stateProvince","country","countryCode","locationNotes","datasetName","publisher","nativeDatabaseID","references","informationWithheld","issue","taxon_name_full","list","unique_id","lat_round","long_round"
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","2019","HUMAN_OBSERVATION","UNKNOWN",32.827737,-84.733471,29039,NA,NA,"Georgia",NA,"US",NA,"iNaturalist Research-grade Observations","iNaturalist.org","2456563358","https://www.inaturalist.org/observations/35585920","Coordinate uncertainty increased to 29039m to protect threatened taxon","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","Quercus georgiana","desiderata",5851702,32.8277,-84.7335
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","2017","HUMAN_OBSERVATION","UNKNOWN",33.680213,-84.025429,28930,NA,NA,"Georgia",NA,"US",NA,"iNaturalist Research-grade Observations","iNaturalist.org","2574059785","https://www.inaturalist.org/observations/8218784","Coordinate uncertainty increased to 28930m to protect threatened taxon","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","Quercus georgiana","desiderata",6048494,33.6802,-84.0254
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis","P. Thompson","GBIF","2014","PRESERVED_SPECIMEN","UNKNOWN",33.01556,-85.29028,NA,NA,NA,NA,NA,"US",NA,"Natural History Museum, Vienna - Herbarium W","Natural History Museum, Vienna - Herbarium W","1701544868",NA,NA,NA,"Quercus georgiana","desiderata",5823090,33.0156,-85.2903
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis","Ryan Russell (UMO)","GBIF","2013","PRESERVED_SPECIMEN","UNKNOWN",33.808056,-84.150833,NA,NA,"De Kalb","Georgia",NA,"US",NA,"Tropicos Specimen Data","Missouri Botanical Garden","1258041233",NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","Quercus georgiana","desiderata",5635505,33.8081,-84.1508
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","2012","HUMAN_OBSERVATION","UNKNOWN",33.745754,-84.040091,28930,NA,NA,"Georgia",NA,"US",NA,"iNaturalist Research-grade Observations","iNaturalist.org","2242739190","https://www.inaturalist.org/observations/146597","Coordinate uncertainty increased to 28930m to protect threatened taxon","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","Quercus georgiana","desiderata",5792834,33.7458,-84.0401
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","2012","HUMAN_OBSERVATION","UNKNOWN",33.658686,-84.141274,28930,NA,NA,"Georgia",NA,"US",NA,"iNaturalist Research-grade Observations","iNaturalist.org","2242739156","https://www.inaturalist.org/observations/146281","Coordinate uncertainty increased to 28930m to protect threatened taxon","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","Quercus georgiana","desiderata",7487924,33.6587,-84.1413
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","2011","HUMAN_OBSERVATION","UNKNOWN",33.644648,-84.172287,28930,NA,NA,"Georgia",NA,"US","Thanks to Joel McNeal for bringing me to this site.","iNaturalist Research-grade Observations","iNaturalist.org","2573901257","https://www.inaturalist.org/observations/35096174","Coordinate uncertainty increased to 28930m to protect threatened taxon","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","Quercus georgiana","desiderata",7405018,33.6446,-84.1723
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","2010","HUMAN_OBSERVATION","UNKNOWN",33.83952,-84.083532,28902,NA,NA,"Georgia",NA,"US",NA,"iNaturalist Research-grade Observations","iNaturalist.org","2573900494","https://www.inaturalist.org/observations/38064183","Coordinate uncertainty increased to 28902m to protect threatened taxon","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","Quercus georgiana","desiderata",5794432,33.8395,-84.0835
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis",NA,"GBIF","1995","PRESERVED_SPECIMEN","UNKNOWN",43.255001,-2.156,NA,NA,NA,"Ss",NA,"ES",NA,"Aranzadi Zientzi Elkartea","Aranzadi Science Society","204434573",NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID","Quercus georgiana","desiderata",7295639,43.255,-2.156
"Quercus georgiana","Quercus georgiana","Quercus georgiana M.A.Curtis","Lance, Ron","GBIF","1986","PRESERVED_SPECIMEN","UNKNOWN",32.850217,-84.790755,2002,"McCormick, Carol Ann | = Pine Mountain | GeoLocate","Harris","Georgia",NA,"US","in oak - hickory - pine woodland","University of North Carolina at Chapel Hill Herbarium","University of North Carolina at Chapel Hill Herbarium (NCU)","2234348974","http://sernecportal.org/portal/collections/individual/index.php?occid=12853528",NA,"RECORDED_DATE_MISMATCH","Quercus georgiana","desiderata",6418929,32.8502,-84.7908
