"species_name_acc","taxon_name","scientificName","taxonIdentificationNotes","database","year","basisOfRecord","establishmentMeans","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geolocationNotes","county","stateProvince","country","countryCode","locationNotes","datasetName","publisher","nativeDatabaseID","references","informationWithheld","issue","taxon_name_full","list","unique_id","lat_round","long_round"
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.717621,-92.767719,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-7-20081-19",NA,NA,NA,"Quercus imbricaria","desiderata",3023813,40.7176,-92.7677
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.884214,-92.375631,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-51-20086-19",NA,NA,NA,"Quercus imbricaria","desiderata",3023822,40.8842,-92.3756
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",40.636634,-91.539965,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-111-20091-19",NA,NA,NA,"Quercus imbricaria","desiderata",3023834,40.6366,-91.54
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",41.241016,-92.823707,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-123-20057-19",NA,NA,NA,"Quercus imbricaria","desiderata",3023835,41.241,-92.8237
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",41.043268,-92.503651,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-2-179-20012-19",NA,NA,NA,"Quercus imbricaria","desiderata",3023839,41.0433,-92.5037
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.07494,-88.906622,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-55-20030-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063569,38.0749,-88.9066
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",38.07528,-88.415066,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-65-20087-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063570,38.0753,-88.4151
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.861933,-89.542824,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-77-10217-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063572,37.8619,-89.5428
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.443336,-88.630292,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-151-10225-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063576,37.4433,-88.6303
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.286505,-88.593833,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-151-10232-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063581,37.2865,-88.5938
"Quercus imbricaria","Quercus imbricaria",NA,NA,"FIA","2018","OBSERVATION","UNKNOWN",37.426082,-89.292247,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-1-181-20078-17",NA,NA,NA,"Quercus imbricaria","desiderata",3063584,37.4261,-89.2922
